m49_code,country,region,cpc_code,commodity,year,loss_percentage,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
356,India,,1312,Bananas,2013,7.8,Whole supply chain,,Sourced from Jha et  al. (2015,,Literature Review,"Durba Kashyap ,Tripti Agarwal  (2019), Food loss in India: water footprint, land footprint and GHG emissions",, Reference has been generated automatically
356,India,,1317,Papayas,2013,6.7,Whole supply chain,,Sourced from Jha et  al. (2015,,Literature Review,"Durba Kashyap ,Tripti Agarwal  (2019), Food loss in India: water footprint, land footprint and GHG emissions",, Reference has been generated automatically
356,India,,1341,Apples,2013,10.4,Whole supply chain,,Sourced from Jha et  al. (2015,,Literature Review,"Durba Kashyap ,Tripti Agarwal  (2019), Food loss in India: water footprint, land footprint and GHG emissions",, Reference has been generated automatically
356,India,,1213,Cauliflowers and broccoli,2010,35.5,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1232,Cucumbers and gherkins,2010,15.0,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1232,Cucumbers and gherkins,2010,5.4,Wholesale,,"Decay, Mechanic Damage, Sorting",10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1232,Cucumbers and gherkins,2010,8.6,Farm,,"Decay, Mechanic Damage, Sorting",10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1232,Cucumbers and gherkins,2010,7.1,Retail,,"Decay, Mechanic Damage, Sorting",10,Case Study,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1233,Eggplants (aubergines),2010,10.8,Farm,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1233,Eggplants (aubergines),2010,62.5,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1233,Eggplants (aubergines),2010,12.8,Wholesale,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1233,Eggplants (aubergines),2010,7.1,Retail,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1234,Tomatoes,2010,12.5,Retail,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1234,Tomatoes,2010,11.9,Transport,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1234,Tomatoes,2010,9.4,Storage,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1234,Tomatoes,2010,17.5,Farm,,"rough handling, the effects of high ambient temperatures and poor quality
package",,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1234,Tomatoes,2010,7.5,Farm,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1234,Tomatoes,2010,4.2,Harvest,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1234,Tomatoes,2010,11.1,Wholesale,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1234,Tomatoes,2010,4.7,Farm,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,10.6,Farm,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,4.5,Farm,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,3.5,Retail,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,19.8,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,4.0,Storage,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,8.3,Retail,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,4.3,Transport,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,5.0,Wholesale,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2010,3.5,Harvest,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1253.01,"Onions and shallots, green",2010,27.5,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1312,Bananas,2010,28.5,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1316,"Mangoes, guavas and mangosteens",2010,24.8,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1316,"Mangoes, guavas and mangosteens",2010,27.5,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1316,"Mangoes, guavas and mangosteens",2010,5.8,Farm,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1316,"Mangoes, guavas and mangosteens",2010,8.3,Retail,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1316,"Mangoes, guavas and mangosteens",2010,7.0,Wholesale,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1316,"Mangoes, guavas and mangosteens",2010,7.5,Transport,,,,Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1319,"Other tropical and subtropical fruits, n.e.c.",2010,9.4,Retail,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1319,"Other tropical and subtropical fruits, n.e.c.",2010,11.3,Farm,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1319,"Other tropical and subtropical fruits, n.e.c.",2010,8.2,Wholesale,,"Decay, Mechanic Damage, Sorting",10,Case Study,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1319,"Other tropical and subtropical fruits, n.e.c.",2010,40.0,Harvest,,,,Rapid Assessment,Kitinoja,http://ucanr.edu/datastoreFiles/234-1847.pdf,
356,India,,1239.01,Okra,2009,13.0,Farm,,lack of pre-sorting to remove decayed produce before packing promoted spread of fungal and bacterial diseases and insect pests during handling,,Survey,L. Kitinoja and H.Y. AlHassan (2012),,
356,India,,1234,Tomatoes,2009,9.4,Storage,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1234,Tomatoes,2009,11.9,Transport,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1234,Tomatoes,2009,8.4,Storage,Outside the Zero Energy Cool Chamber (ZECC),,,Field Trial/Experimental Design,Lisa Kitinoja (2010),,
356,India,,1234,Tomatoes,2009,1.8,Storage,Trials in Zero Energy Cool Chamber (ZECC),,,Field Trial/Experimental Design,Lisa Kitinoja (2010),,
356,India,,1234,Tomatoes,2009,4.2,Harvest,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1239.01,Okra,2009,3.5,Retail,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1239.01,Okra,2009,4.0,Storage,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1239.01,Okra,2009,3.5,Harvest,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1239.01,Okra,2009,4.5,Farm,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1239.01,Okra,2009,4.3,Transport,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1316,"Mangoes, guavas and mangosteens",2009,4.5,Farm,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Rapid Assessment,Lisa Kitinoja (2010),,
356,India,,1316,"Mangoes, guavas and mangosteens",2009,5.8,Storage,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Rapid Assessment,Lisa Kitinoja (2010),,
356,India,,1316,"Mangoes, guavas and mangosteens",2009,4.0,Retail,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Rapid Assessment,Lisa Kitinoja (2010),,
356,India,,1316,"Mangoes, guavas and mangosteens",2009,3.0,Harvest,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Rapid Assessment,Lisa Kitinoja (2010),,
356,India,,1316,"Mangoes, guavas and mangosteens",2009,7.5,Transport,emperatures during the assessments in India ranged from hot (45 C = 113F in June and July) to cool (25 C =77F in September).,,,Survey,Lisa Kitinoja (2010),,
356,India,,1212,Cabbages,2008,17.5,Farm,,,,Literature Review,"Gajbhiye et al, 2008",http://ucanr.edu/datastoreFiles/234-1847.pdf,"Sourced from Gajbhiye et al, 2008"
356,India,,1213,Cauliflowers and broccoli,2008,17.5,Farm,,,,Literature Review,"Gajbhiye et al, 2008",http://ucanr.edu/datastoreFiles/234-1847.pdf,"Sourced from Gajbhiye et al, 2008"
356,India,,1234,Tomatoes,2008,35.0,Post-harvest,,,,Literature Review,"Gajbhiye et al, 2008",http://ucanr.edu/datastoreFiles/234-1847.pdf,"Sourced from Gajbhiye et al, 2008"
36,Australia,,1234,Tomatoes,2017,2.4,Retail,Supply Chain Two,,,Case Study,"Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",, Reference has been generated automatically
36,Australia,,1234,Tomatoes,2017,10.8,Farm,Supply Chain One,,,Case Study,"Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",, Reference has been generated automatically
36,Australia,,1234,Tomatoes,2017,28.7,Farm,Supply Chain One,,,Case Study,"Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",, Reference has been generated automatically
36,Australia,,1234,Tomatoes,2017,47.0,Farm,Supply Chain Two,,,Case Study,"Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",, Reference has been generated automatically
36,Australia,,1234,Tomatoes,2017,5.4,Retail,Supply Chain One,,,Case Study,"Tara J. McKenzie, Lila Singh-Peterson and Steven J. R. Underhill (2017), Quantifying Postharvest Loss and the Implication of Market-Based Decisions: A Case Study of Two Commercial Domestic Tomato Supply Chains in Queensland, Australia",, Reference has been generated automatically
36,Australia,,1212,Cabbages,2015,12.0,Households,Baby leaf,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1212,Cabbages,2015,27.0,Households,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2015,37.0,Households,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2015,31.0,Households,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2015,14.0,Households,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1231,"Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.)",2015,26.0,Households,Capsicum,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1251,Carrots and turnips,2015,31.0,Households,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,21319.01,"Sweet corn, frozen",2015,27.0,Households,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1212,Cabbages,2013,20.0,Processing,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1212,Cabbages,2013,32.5,Market,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2013,3.0,Processing,Cauliflower,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2013,10.0,Farm,Cauliflower,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2013,28.0,Market,Broccoli,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2013,65.0,Processing,Broccoli,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2013,11.0,Farm,,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2013,24.0,Whole supply chain,Cauliflower,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1213,Cauliflowers and broccoli,2013,3.0,Processing,Broccoli,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2013,6.0,Farm,Leaf Lettuce,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2013,4.0,Farm,Head Lettuce,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2013,16.0,Processing,Head Lettuce,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2013,17.0,Whole supply chain,Baby leaf and fancy lettuce - Summer production,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2013,50.0,Whole supply chain,Baby leaf and fancy lettuce - Winter production,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2013,15.0,Whole supply chain,Head Lettuce,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2013,9.0,Processing,Leaf Lettuce,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1214,Lettuce and chicory,2013,10.0,Processing,Head Lettuce,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1231,"Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.)",2013,8.0,Farm,Capsicum,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1251,Carrots and turnips,2013,1.0,Processing,Carrots,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1251,Carrots and turnips,2013,1.0,Farm,Carrots,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1251,Carrots and turnips,2013,5.0,Processing,Carrots,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1290.9,"Other vegetables, fresh n.e.c.",2013,15.0,Whole supply chain,Baby leaf - Winter production,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1290.9,"Other vegetables, fresh n.e.c.",2013,10.0,Whole supply chain,Baby leaf - Summer production,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1290.9,"Other vegetables, fresh n.e.c.",2013,1.0,Processing,Celery,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,1290.9,"Other vegetables, fresh n.e.c.",2013,10.0,Farm,,,,Literature Review,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,21319.01,"Sweet corn, frozen",2013,20.0,Whole supply chain,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
36,Australia,,21319.01,"Sweet corn, frozen",2013,38.5,Processing,,,,Survey,"Gordon Rogers (2013), identifying new products, uses and markets for australian vegetables: a desktop study",, Reference has been generated automatically
360,Indonesia,,1354,Strawberries,2010,30.0,Post-harvest,,due to poor quality No use of maturity indices Lack of knowledge Issues with access to credit,"50 faculty/extension agents 11,000 farmers",Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
384,Côte d'Ivoire,,1313,Plantains and cooking bananas,2013,35.0,Whole supply chain,,"rough handling, unprotected storage conditions, and poor transportation",,No Data Collection Specified,Cauthen et al. (2013),http://www.mod.gov.tr/Lists/RecentPublications/Attachments/120/Reducing%20Postharvest%20Losses%20in%20the%20OIC%20Member%20Countries.pdf,
404,Kenya,"Lower Eastern region (Makueni, Kitui and Machakos counties",1316,"Mangoes, guavas and mangosteens",2015,13.0,Whole supply chain,,,"survey of  620 value chain actors, comprised of 396 mango farmers, 80 agro dealers, 85 traders, 40 transporters, 8 exporters and 6 banks",Survey,FSD,http://fsdkenya.org/publication/opportunities-for-financing-the-mango-value-chain-a-case-study-of-lower-eastern-kenya/,
404,Kenya,,1316,"Mangoes, guavas and mangosteens",2013,1.5,Export,,"Pest/Disease Damage, Poor Postharvest Handling And Poor Infrastructure",,Expert Opinion,USAID/Fintrac,http://pdf.usaid.gov/pdf_docs/PA00M2SZ.pdf,
404,Kenya,"Milly and Allfruits are based in Coast Province, while Kevian and Sunny are based in Central Kenya near Thika",1316,"Mangoes, guavas and mangosteens",2013,20.5,Processing,,"Maturity, Ripeness (Within Two Days Of Ripening), Size (Large Are Preferred As They Have More Pulp), Bruising, And Spots Or Pest/Insect Damage",,Field Trial/Experimental Design,USAID/Fintrac,http://pdf.usaid.gov/pdf_docs/PA00M2SZ.pdf,
404,Kenya,,1316,"Mangoes, guavas and mangosteens",2013,12.0,Processing,,poor packaging and transportation methods,,Expert Opinion,USAID/Fintrac,http://pdf.usaid.gov/pdf_docs/PA00M2SZ.pdf,
404,Kenya,"Milly and Allfruits are based in Coast Province, while Kevian and Sunny are based in Central Kenya near Thika",1316,"Mangoes, guavas and mangosteens",2013,40.0,Farm,,"Pest/Disease Damage, Poor Postharvest Handling And Poor Infrastructure",,Expert Opinion,USAID/Fintrac,http://pdf.usaid.gov/pdf_docs/PA00M2SZ.pdf,
404,Kenya,,1312,Bananas,2012,9.0,Retail,,Poor display and storage facilities -,,Expert Opinion,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,20.0,Processing,,"Ripening at too high
temperature and oxygen
level.",,Expert Opinion,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,0.0,Wholesale,,"Moisture loss ,Mechanical damage , Transportation and storage -",,Rapid Assessment,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,50.0,Farm,,,,Expert Opinion,IITA (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,2.5,Trader,,,,Expert Opinion,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,10.0,Transport,,"Poor transportation and handling -Improper handling by loading and off-loading, over-loading and insufficient protection in the truck.",,Expert Opinion,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,Lugari,1312,Bananas,2012,25.0,Farm,,"Disease, Poor Harvesting",,No Data Collection Specified,KARI - Kenya Agricultural research Institute,http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,31.5,Farm,,,,Expert Opinion,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,1.3,Retail,,,,Rapid Assessment,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,3.0,Wholesale,,"The causes of quantitative losses are similar to those for qualitative losses only that the extent of the
damage makes the fruit unmarketable. The placement of wrapped bananas on motorbikes and trucks
caused physical injuries which affected the fingers on the outer row of the hands. After ripening the
bruised area becomes hardened and creates avenues for entry of pathogens. Since bananas are climacteric,
injury to the fruit causes ethylene production, increases respiration and water loss thereby
shortening postharvest life. Additionally, decay caused by pathogenic agents' sets in at the point of
injury",,Rapid Assessment,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1312,Bananas,2012,1.8,Retail,,Poor display and storage facilities -,,Rapid Assessment,Kitinoja and Cantwell (2010),http://www.fao.org/fileadmin/user_upload/save-food/PDF/Kenya_Food_Loss_Studies.pdf,
404,Kenya,,1234,Tomatoes,2012,5.5,Farm,No treatment,,,Literature Review,"(2013), addressing food losses",, Reference has been generated automatically
404,Kenya,,1312,Bananas,2012,32.0,Transport,,Market glut and spoilage,,Literature Review,"(2013), addressing food losses",, Reference has been generated automatically
404,Kenya,,1312,Bananas,2012,4.0,Processing,,Over ripening,,Literature Review,"(2013), addressing food losses",, Reference has been generated automatically
404,Kenya,,1316,"Mangoes, guavas and mangosteens",2012,25.0,Whole supply chain,,"The vast majority of mango farmers interviewed (98%) sold all their produce to
middlemen/brokers at the farm-gate with only 2 percent selling some of the produce to markets
outside Embu district. Usually, no collective bargaining takes place on the price because each
farmer interacts individually with traders (brokers) and as a result, traders take advantage of
farmers by colluding to buy mangoes at prices lower than the prevailing market prices. This
exploitative tendency by buyers who offer very low prices was mentioned by 94 percent of farmers
as the major marketing challenge followed by delayed purchase after harvest (64%). This occurs
when brokers instruct farmers to harvest the mangoes promising to pick them up the next day but 
41
then intentionally delay to do so. They then persuade farmers to sell their produce at lower prices
to avoid additional spoilage and loss given that mangoes are highly perishable. On-farm sorting,
grading and bulking of mango fruit is a common practice and is usually done by traders (brokers)
before buying them. They bring their own workers to the farm to harvest the fruit or by giving a
purchasing future date thus advising farmers on when to harvest. In both cases, the buyer meets the
labour costs involved. After sorting, damaged mangoes are rejected by buyers and farmers usually
have to find alternative use or ways to dispose the fruits. Those rejected because of fruit fly
infestation are buried in a deep hole.
The lack of good storage facilities at the farm level was also a major challenge that compelled
54 percent of farmers to sell their mangoes on the day of harvesting. Others (46%) kept them under a
makeshift shed to minimize sunburn, loss of moisture and accumulation of dust for a few days as
they waited to sell. In addition, most access roads to farms are passable only during the dry seasons
of the year but if there are heavy rains during the harvesting period, accessibility is impeded thus
contributing to post-harvest losses and a deterioration of quality leading to low selling prices. When
farmers were asked to rank the attributes that buyers considered as the most important when
selecting mangoes for purchase, 96 percent ranked fruit size first, followed closely by quality (92%),
colour as a maturity indicator (80%) and mango variety (42%). These results reveal the importance
of quality as a key attribute of marketable fruit. It is a compound attribute that refers to the lack of
external or internal damage or injury caused by insect pests, diseases, birds or mechanical damage.",The model was estimated using data collected from 240 mango growing farmers selected using multistage and proportionate to size random sampling procedures.,Survey,MUCHIRI CAROLINE MUGURE; MSc Thesis_Caroline Muchiri.pdf,,"The clustered distribution of the economic loss indicates that 36 percent of mango
farmers suffered produce losses of less than 10 percent while 8 percent of farmers suffered losses
of more than 40 percent via rejections during harvest. From the study, the mean percentage fruit
loss was found to be 24 percent with some farmers experiencing losses of up to 60 percent. The
mean percentage loss for farmers who intercropped (24.4%) was not very different from that
suffered by those who monocropped (23.1%)"
404,Kenya,"Upper Athi River Region; Kilala, Ikanganya,  Kikumbulyu, Kikoko, Nguumo, Kiou, Wote, Kee, Mbiuni, Mwala and Mwani.",1316,"Mangoes, guavas and mangosteens",2010,35.0,Farm,,"Poor Harvesting Methods, Lack Of Training, Poor Packaging, Lack Of Proper Storage Facilities And Marketing",,No Data Collection Specified,MSABENI et al,http://www.icra-edu.org/file.php/263/wd136.pdf,
404,Kenya,,1312,Bananas,2010,40.0,Post-harvest,,"Poor handling, very bad roads Lack of training Only large growers had access to markets","12,000 farmers to date",Rapid Assessment,,http://ucanr.edu/datastoreFiles/234-1847.pdf,
404,Kenya,,1316,"Mangoes, guavas and mangosteens",2010,25.0,Whole supply chain,,,,Census,ABD,http://fsdkenya.org/publication/opportunities-for-financing-the-mango-value-chain-a-case-study-of-lower-eastern-kenya/,
418,Lao People's Democratic Republic,,1232,Cucumbers and gherkins,2008,8.7,Whole supply chain,,,,Modelled Estimates,Weinberger et al 2008,http://ucce.ucdavis.edu/files/datastore/234-1479.pdf,Sourced from Weinberger at 2008
